Titre,Auteur,Sujet,Date,Organisme,Encadrants
Logiciel de gestion des bandes magnétique pour le réseau d'exploitation et maintenance pour le réseau   d'exploitation et maintenance (ALCATEL- CIT MAROC) ,ALMAI Zouhir et EL ALAOUI SMAILI My youssef ,,1994,ALCATEL ,"HAJJI Nasr 
MAAROUF Mohamed 
SADQI Youssef
SKALLI Ahmed "
Planification du réseau de mohammedia et application sur planitu  ,AMAR Chrif et EL MOUSSAOUI Ahmed ,,1994,LA CPECT,"HAJJI Nasr 
BOUMZEBRA Noreddine 
FKIR Said
HAZAOUD Ahmed
KHAOUJA Ahmed "
Etude et optimisation du réseau de l'agence maghreb arabe press  ,BABA AHMED Mohamed et EL KNICHI Khadija ,,1994,LA MAP,"HAJJI Nasr
KHALED Mohammed
LYACOUBI Mohammed
MOUGA Mohamed 
OUCHRI Ahmed "
Conception d'une extension du réseau SNA du groupe OCP par rapport radio-electrique  ,BEN CHRIFA Said et EL MOUDNI Rachid ,,1994,OCP,"HAJJI Nasr 
BELFKIH Mohammed 
CHOUKRI Toufeik 
EL GARCH Merieme 
MOUNIR Mohamed karim"
Intégration voix et donnes cas de la banque centrale populaire  ,BEN JIRA Rachid et TALIB Hassan ,,1994,LA BCP,"HAJJI Nasr
BERRADA Amass
BENOMAR Aziza 
BATTAS Ahmed "
Etude du réseau prive x25 de la BMCE et réalisation de deux logiciels d'exploitation   ,BENRAHMOUN Rachid et KHADIRI Brahim,,1994,LA BMCE ,"HAJJI Nasr
BENOMAR Aziza 
LAATACH Mohamed 
MROUSSI Mohamed "
Signalisation sémaphore et proposition d'un plan d'action pour son introduction dans le réseau nationale  ,BOUHLAL Adil et MOUHTI Hassan,,1994,La division d'equipement commutation ,"HAJJI Nasr
BARBON Louis
EL GHAROUCH Ahmed 
KHAOUJA Ahmed 
NOUINI Mohamed "
Introduction de la technique kiosque dans le réseau videotex marocain  ,BOURKANE Abderrahim et EL OUALJI Hassan ,,1994,,"HAJJI Nasr 
BATTAS Ahmed 
EL RHAZI Mohamed
LHOR Mohamed 
SALHI Mohamed "
Proposition d'un logiciel gestionnaire de réseaux pour wafabank,EL BOUGRINI Salma et MAHFOUD Khadija ,,1994,WAFABANK,"HAJJI Nasr 
BATTAS Ahmed
CHOUKRI Toufiek 
EL MANHAJI Abdrrahim"
Comparaison des performances de deux loison sous architecture SNA -Laison louée sous SDLS-circuit vertuel permanent X25 sur ligne specialisee application a l'odep ,EL MAI Abderazzak et NABAHA Rachid ,,1994,L'ODEP,"HAJJI Nasr 
BATTAS Ahmed
BENJELLOUN Said 
BERKOUK Said 
EL KOUCH Rachid "
Les teleportes ,EL MOUATARIF Nadia et HAGGOUCH Youssef ,,1994,ONDA,"HAJJI Nasr
CHOKRI Taoufeik
CHARIF DOUZZANE Abderrahmane 
EL MAFOUCHI Noureddine 
IDRISSI Abdeahad
KHAOUJA Ahmed
RAFI Abderrahman"
Etude et réalisation d'un manuel technique d'un émetteur-récepteur radio maritime VHF ,EL QALLI Mohammed,,1994,"C,E,E,M,A","HAJJI Nasr 
BELFKIH Mohamed
CHARIF CHEFCHAOUNI Abdelfatah
MUSNIER Depleignes paul
SKALLI Hassan "
Planification du réseau de kenitra avec application sur planitu ,ESSALAMI Med abdou et FDAILI Amal,,1994,LA DRT,"Mr HAJJI
Mr BERRADA
Mr BOUMZEBRA
Mr KHAOUJA
Mr TAKROUMT
Mr ZOUAKIA "
Les techniqueS SDH cas du maroc ,HASSIBI Az el arab et MAAMER Abdelkader el mehdi,,1994,ALCATEL ,"HAJJI Nasr 
JAZOLI Mohamed
NEJJAR Mohammed faycal
RAFI Abderrahman
SOURDOu Hassan "
Information d'une actel conception d'un système d'information pour la gestion de la demande téléphonique ,JERID Ahmed etLOUKANI Al mahdi,,1994,Itissalat al maghrib ,"HAJJI Nasr 
BAKKACHA Mohamed
BENQMAR Aziza 
KHAMAILY Abdelmjid 
OUDGHIRI Said "
Planification du réseau de rabat application sur planitu  ,LAHJOUMRI Hicham et MISS Mohamed saad,,1994,La direction de l'equipment,"HAJJI Nasr
BOUMZEBRA Noureddine 
KHAOUJA Ahmed
ZOUAKIA Rochdi "
Etude de l'amélioration de la gestion des taxiphones a monnaie ,LOUAD Abderahim et OUHAMMOU Mohammed,,1994,CPECT D'AGADIR,"HAJJI Nasr 
CHARKI Hafid
SALHI Mohamed"
Introduction du système de radiotéléphonie mobile cellulaire numérique type GSM aspect technique et réglementaire   ,MAHMOUD Mustapha et OUARICH Abderrahman ,,1994,,"HAJJI Nasr
LYAKOUBI Mohamed 
MANSOURRI Mohamed 
RIOUCH Fatima "
Extension du réseau de la SGMB développement d'un prototype d'application a base d'appc ,ZNAIDI Najia et ERRAMI Nour-eddine ,,1994,SGMB,"HAJJI Nasr
BATTAS Ahmed 
CHOUKRI Toufeik 
EL HARIRY Tarik "
